統計年度,按照別,區域別,生母年齡,出生身分,嬰兒出生數
112,按發生日期分,新北市三重區,30～34歲,非婚生已認領,3
112,按發生日期分,新北市三重區,30～34歲,非婚生未認領,17
112,按發生日期分,新北市三重區,30～34歲,無依兒童,0
112,按發生日期分,新北市三重區,35～39歲,婚生,399
112,按發生日期分,新北市三重區,35～39歲,遺腹子,0
112,按發生日期分,新北市三重區,35～39歲,非婚生已認領,4
112,按發生日期分,新北市三重區,35～39歲,非婚生未認領,12
112,按發生日期分,新北市三重區,35～39歲,無依兒童,0
112,按發生日期分,新北市三重區,40～44歲,婚生,150
112,按發生日期分,新北市三重區,40～44歲,遺腹子,0
112,按發生日期分,新北市三重區,40～44歲,非婚生已認領,3
112,按發生日期分,新北市三重區,40～44歲,非婚生未認領,5
112,按發生日期分,新北市三重區,40～44歲,無依兒童,0
112,按發生日期分,新北市三重區,45～49歲,婚生,10
112,按發生日期分,新北市三重區,45～49歲,遺腹子,0
112,按發生日期分,新北市三重區,45～49歲,非婚生已認領,0
112,按發生日期分,新北市三重區,45～49歲,非婚生未認領,0
112,按發生日期分,新北市三重區,45～49歲,無依兒童,0
112,按發生日期分,新北市三重區,50歲以上,婚生,1
112,按發生日期分,新北市三重區,50歲以上,遺腹子,0
112,按發生日期分,新北市三重區,50歲以上,非婚生已認領,0
112,按發生日期分,新北市三重區,50歲以上,非婚生未認領,0
112,按發生日期分,新北市三重區,50歲以上,無依兒童,0
112,按發生日期分,新北市中和區,未滿15歲,婚生,0
112,按發生日期分,新北市中和區,未滿15歲,遺腹子,0
112,按發生日期分,新北市中和區,未滿15歲,非婚生已認領,0
112,按發生日期分,新北市中和區,未滿15歲,非婚生未認領,0
112,按發生日期分,新北市中和區,未滿15歲,無依兒童,0
112,按發生日期分,新北市中和區,15～19歲,婚生,4
112,按發生日期分,新北市中和區,15～19歲,遺腹子,0
112,按發生日期分,新北市中和區,15～19歲,非婚生已認領,3
112,按發生日期分,新北市中和區,15～19歲,非婚生未認領,0
112,按發生日期分,新北市中和區,15～19歲,無依兒童,0
112,按發生日期分,新北市中和區,20～24歲,婚生,70
112,按發生日期分,新北市中和區,20～24歲,遺腹子,0
112,按發生日期分,新北市中和區,20～24歲,非婚生已認領,1
112,按發生日期分,新北市中和區,20～24歲,非婚生未認領,6
112,按發生日期分,新北市中和區,20～24歲,無依兒童,0
112,按發生日期分,新北市中和區,25～29歲,婚生,287
112,按發生日期分,新北市中和區,25～29歲,遺腹子,0
112,按發生日期分,新北市中和區,25～29歲,非婚生已認領,2
112,按發生日期分,新北市中和區,25～29歲,非婚生未認領,8
112,按發生日期分,新北市中和區,25～29歲,無依兒童,0
112,按發生日期分,新北市中和區,30～34歲,婚生,615
112,按發生日期分,新北市中和區,30～34歲,遺腹子,0
112,按發生日期分,新北市中和區,30～34歲,非婚生已認領,3
112,按發生日期分,新北市中和區,30～34歲,非婚生未認領,9
112,按發生日期分,新北市中和區,30～34歲,無依兒童,0
112,按發生日期分,新北市中和區,35～39歲,婚生,462
112,按發生日期分,新北市中和區,35～39歲,遺腹子,0
112,按發生日期分,新北市中和區,35～39歲,非婚生已認領,5
112,按發生日期分,新北市中和區,35～39歲,非婚生未認領,10
112,按發生日期分,新北市中和區,35～39歲,無依兒童,0
112,按發生日期分,新北市中和區,40～44歲,婚生,162
112,按發生日期分,新北市中和區,40～44歲,遺腹子,0
112,按發生日期分,新北市中和區,40～44歲,非婚生已認領,2
112,按發生日期分,新北市中和區,40～44歲,非婚生未認領,7
112,按發生日期分,新北市中和區,40～44歲,無依兒童,0
112,按發生日期分,新北市中和區,45～49歲,婚生,10
112,按發生日期分,新北市中和區,45～49歲,遺腹子,0
112,按發生日期分,新北市中和區,45～49歲,非婚生已認領,0
112,按發生日期分,新北市中和區,45～49歲,非婚生未認領,0
112,按發生日期分,新北市中和區,45～49歲,無依兒童,0
112,按發生日期分,新北市中和區,50歲以上,婚生,0
112,按發生日期分,新北市中和區,50歲以上,遺腹子,0
112,按發生日期分,新北市中和區,50歲以上,非婚生已認領,0
112,按發生日期分,新北市中和區,50歲以上,非婚生未認領,0
112,按發生日期分,新北市中和區,50歲以上,無依兒童,0
112,按發生日期分,新北市永和區,未滿15歲,婚生,0
112,按發生日期分,新北市永和區,未滿15歲,遺腹子,0
112,按發生日期分,新北市永和區,未滿15歲,非婚生已認領,0
112,按發生日期分,新北市永和區,未滿15歲,非婚生未認領,0
112,按發生日期分,新北市永和區,未滿15歲,無依兒童,0
112,按發生日期分,新北市永和區,15～19歲,婚生,4
112,按發生日期分,新北市永和區,15～19歲,遺腹子,0
112,按發生日期分,新北市永和區,15～19歲,非婚生已認領,1
112,按發生日期分,新北市永和區,15～19歲,非婚生未認領,0
112,按發生日期分,新北市永和區,15～19歲,無依兒童,0
112,按發生日期分,新北市永和區,20～24歲,婚生,32
112,按發生日期分,新北市永和區,20～24歲,遺腹子,0
112,按發生日期分,新北市永和區,20～24歲,非婚生已認領,3
112,按發生日期分,新北市永和區,20～24歲,非婚生未認領,2
112,按發生日期分,新北市永和區,20～24歲,無依兒童,0
112,按發生日期分,新北市永和區,25～29歲,婚生,100
112,按發生日期分,新北市永和區,25～29歲,遺腹子,0
112,按發生日期分,新北市永和區,25～29歲,非婚生已認領,1
112,按發生日期分,新北市永和區,25～29歲,非婚生未認領,0
112,按發生日期分,新北市永和區,25～29歲,無依兒童,0
112,按發生日期分,新北市永和區,30～34歲,婚生,255
112,按發生日期分,新北市永和區,30～34歲,遺腹子,0
112,按發生日期分,新北市永和區,30～34歲,非婚生已認領,2
112,按發生日期分,新北市永和區,30～34歲,非婚生未認領,5
112,按發生日期分,新北市永和區,30～34歲,無依兒童,0
112,按發生日期分,新北市永和區,35～39歲,婚生,233
112,按發生日期分,新北市永和區,35～39歲,遺腹子,0
112,按發生日期分,新北市永和區,35～39歲,非婚生已認領,3
112,按發生日期分,新北市永和區,35～39歲,非婚生未認領,2
112,按發生日期分,新北市永和區,35～39歲,無依兒童,0
112,按發生日期分,新北市永和區,40～44歲,婚生,71
112,按發生日期分,新北市永和區,40～44歲,遺腹子,0
112,按發生日期分,新北市永和區,40～44歲,非婚生已認領,1
112,按發生日期分,新北市永和區,40～44歲,非婚生未認領,0
112,按發生日期分,新北市永和區,40～44歲,無依兒童,0
112,按發生日期分,新北市永和區,45～49歲,婚生,9
112,按發生日期分,新北市永和區,45～49歲,遺腹子,0
112,按發生日期分,新北市永和區,45～49歲,非婚生已認領,0
112,按發生日期分,新北市永和區,45～49歲,非婚生未認領,0
112,按發生日期分,新北市永和區,45～49歲,無依兒童,0
112,按發生日期分,新北市永和區,50歲以上,婚生,0
112,按發生日期分,新北市永和區,50歲以上,遺腹子,0
112,按發生日期分,新北市永和區,50歲以上,非婚生已認領,0
112,按發生日期分,新北市永和區,50歲以上,非婚生未認領,0
112,按發生日期分,新北市永和區,50歲以上,無依兒童,0
112,按發生日期分,新北市新莊區,未滿15歲,婚生,0
112,按發生日期分,新北市新莊區,未滿15歲,遺腹子,0
112,按發生日期分,新北市新莊區,未滿15歲,非婚生已認領,0
112,按發生日期分,新北市新莊區,未滿15歲,非婚生未認領,0
112,按發生日期分,新北市新莊區,未滿15歲,無依兒童,0
112,按發生日期分,新北市新莊區,15～19歲,婚生,13
112,按發生日期分,新北市新莊區,15～19歲,遺腹子,0
112,按發生日期分,新北市新莊區,15～19歲,非婚生已認領,3
112,按發生日期分,新北市新莊區,15～19歲,非婚生未認領,1
112,按發生日期分,新北市新莊區,15～19歲,無依兒童,0
112,按發生日期分,新北市新莊區,20～24歲,婚生,89
112,按發生日期分,新北市新莊區,20～24歲,遺腹子,0
112,按發生日期分,新北市新莊區,20～24歲,非婚生已認領,3
112,按發生日期分,新北市新莊區,20～24歲,非婚生未認領,5
112,按發生日期分,新北市新莊區,20～24歲,無依兒童,0
112,按發生日期分,新北市新莊區,25～29歲,婚生,418
112,按發生日期分,新北市新莊區,25～29歲,遺腹子,0
112,按發生日期分,新北市新莊區,25～29歲,非婚生已認領,5
112,按發生日期分,新北市新莊區,25～29歲,非婚生未認領,13
112,按發生日期分,新北市新莊區,25～29歲,無依兒童,0
112,按發生日期分,新北市新莊區,30～34歲,婚生,825
112,按發生日期分,新北市新莊區,30～34歲,遺腹子,0
112,按發生日期分,新北市新莊區,30～34歲,非婚生已認領,8
112,按發生日期分,新北市新莊區,30～34歲,非婚生未認領,9
112,按發生日期分,新北市新莊區,30～34歲,無依兒童,0
112,按發生日期分,新北市新莊區,35～39歲,婚生,586
112,按發生日期分,新北市新莊區,35～39歲,遺腹子,0
112,按發生日期分,新北市新莊區,35～39歲,非婚生已認領,4
112,按發生日期分,新北市新莊區,35～39歲,非婚生未認領,13
112,按發生日期分,新北市新莊區,35～39歲,無依兒童,0
112,按發生日期分,新北市新莊區,40～44歲,婚生,162
112,按發生日期分,新北市新莊區,40～44歲,遺腹子,0
112,按發生日期分,新北市新莊區,40～44歲,非婚生已認領,11
112,按發生日期分,新北市新莊區,40～44歲,非婚生未認領,5
112,按發生日期分,新北市新莊區,40～44歲,無依兒童,0
112,按發生日期分,新北市新莊區,45～49歲,婚生,20
112,按發生日期分,新北市新莊區,45～49歲,遺腹子,0
112,按發生日期分,新北市新莊區,45～49歲,非婚生已認領,0
112,按發生日期分,新北市新莊區,45～49歲,非婚生未認領,0
112,按發生日期分,新北市新莊區,45～49歲,無依兒童,0
112,按發生日期分,新北市新莊區,50歲以上,婚生,1
112,按發生日期分,新北市新莊區,50歲以上,遺腹子,0
112,按發生日期分,新北市新莊區,50歲以上,非婚生已認領,0
112,按發生日期分,新北市新莊區,50歲以上,非婚生未認領,0
112,按發生日期分,新北市新莊區,50歲以上,無依兒童,0
112,按發生日期分,新北市新店區,未滿15歲,婚生,0
112,按發生日期分,新北市新店區,未滿15歲,遺腹子,0
112,按發生日期分,新北市新店區,未滿15歲,非婚生已認領,0
112,按發生日期分,新北市新店區,未滿15歲,非婚生未認領,0
112,按發生日期分,新北市新店區,未滿15歲,無依兒童,0
112,按發生日期分,新北市新店區,15～19歲,婚生,5
112,按發生日期分,新北市新店區,15～19歲,遺腹子,0
112,按發生日期分,新北市新店區,15～19歲,非婚生已認領,1
112,按發生日期分,新北市新店區,15～19歲,非婚生未認領,2
112,按發生日期分,新北市新店區,15～19歲,無依兒童,0
112,按發生日期分,新北市新店區,20～24歲,婚生,47
112,按發生日期分,新北市新店區,20～24歲,遺腹子,0
112,按發生日期分,新北市新店區,20～24歲,非婚生已認領,1
112,按發生日期分,新北市新店區,20～24歲,非婚生未認領,6
112,按發生日期分,新北市新店區,20～24歲,無依兒童,0
112,按發生日期分,新北市新店區,25～29歲,婚生,205
112,按發生日期分,新北市新店區,25～29歲,遺腹子,0
112,按發生日期分,新北市新店區,25～29歲,非婚生已認領,3
112,按發生日期分,新北市新店區,25～29歲,非婚生未認領,5
112,按發生日期分,新北市新店區,25～29歲,無依兒童,0
112,按發生日期分,新北市新店區,30～34歲,婚生,428
112,按發生日期分,新北市新店區,30～34歲,遺腹子,0
112,按發生日期分,新北市新店區,30～34歲,非婚生已認領,1
112,按發生日期分,新北市新店區,30～34歲,非婚生未認領,3
112,按發生日期分,新北市新店區,30～34歲,無依兒童,0
112,按發生日期分,新北市新店區,35～39歲,婚生,278
112,按發生日期分,新北市新店區,35～39歲,遺腹子,0
112,按發生日期分,新北市新店區,35～39歲,非婚生已認領,1
112,按發生日期分,新北市新店區,35～39歲,非婚生未認領,5
112,按發生日期分,新北市新店區,35～39歲,無依兒童,0
112,按發生日期分,新北市新店區,40～44歲,婚生,104
112,按發生日期分,新北市新店區,40～44歲,遺腹子,0
112,按發生日期分,新北市新店區,40～44歲,非婚生已認領,1
112,按發生日期分,新北市新店區,40～44歲,非婚生未認領,3
112,按發生日期分,新北市新店區,40～44歲,無依兒童,0
112,按發生日期分,新北市新店區,45～49歲,婚生,10
112,按發生日期分,新北市新店區,45～49歲,遺腹子,0
112,按發生日期分,新北市新店區,45～49歲,非婚生已認領,0
112,按發生日期分,新北市新店區,45～49歲,非婚生未認領,0
112,按發生日期分,新北市新店區,45～49歲,無依兒童,0
112,按發生日期分,新北市新店區,50歲以上,婚生,0
112,按發生日期分,新北市新店區,50歲以上,遺腹子,0
112,按發生日期分,新北市新店區,50歲以上,非婚生已認領,0
112,按發生日期分,新北市新店區,50歲以上,非婚生未認領,0
112,按發生日期分,新北市新店區,50歲以上,無依兒童,0
112,按發生日期分,新北市樹林區,未滿15歲,婚生,0
112,按發生日期分,新北市樹林區,未滿15歲,遺腹子,0
112,按發生日期分,新北市樹林區,未滿15歲,非婚生已認領,0
112,按發生日期分,新北市樹林區,未滿15歲,非婚生未認領,0
112,按發生日期分,新北市樹林區,未滿15歲,無依兒童,0
112,按發生日期分,新北市樹林區,15～19歲,婚生,5
112,按發生日期分,新北市樹林區,15～19歲,遺腹子,0
112,按發生日期分,新北市樹林區,15～19歲,非婚生已認領,1
112,按發生日期分,新北市樹林區,15～19歲,非婚生未認領,2
112,按發生日期分,新北市樹林區,15～19歲,無依兒童,0
112,按發生日期分,新北市樹林區,20～24歲,婚生,67
112,按發生日期分,新北市樹林區,20～24歲,遺腹子,0
112,按發生日期分,新北市樹林區,20～24歲,非婚生已認領,1
112,按發生日期分,新北市樹林區,20～24歲,非婚生未認領,5
112,按發生日期分,新北市樹林區,20～24歲,無依兒童,0
112,按發生日期分,新北市樹林區,25～29歲,婚生,182
112,按發生日期分,新北市樹林區,25～29歲,遺腹子,0
112,按發生日期分,新北市樹林區,25～29歲,非婚生已認領,2
112,按發生日期分,新北市樹林區,25～29歲,非婚生未認領,4
112,按發生日期分,新北市樹林區,25～29歲,無依兒童,0
112,按發生日期分,新北市樹林區,30～34歲,婚生,311
112,按發生日期分,新北市樹林區,30～34歲,遺腹子,0
112,按發生日期分,新北市樹林區,30～34歲,非婚生已認領,2
112,按發生日期分,新北市樹林區,30～34歲,非婚生未認領,8
112,按發生日期分,新北市樹林區,30～34歲,無依兒童,0
112,按發生日期分,新北市樹林區,35～39歲,婚生,188
112,按發生日期分,新北市樹林區,35～39歲,遺腹子,0
112,按發生日期分,新北市樹林區,35～39歲,非婚生已認領,4
112,按發生日期分,新北市樹林區,35～39歲,非婚生未認領,6
112,按發生日期分,新北市樹林區,35～39歲,無依兒童,0
112,按發生日期分,新北市樹林區,40～44歲,婚生,66
112,按發生日期分,新北市樹林區,40～44歲,遺腹子,0
112,按發生日期分,新北市樹林區,40～44歲,非婚生已認領,0
112,按發生日期分,新北市樹林區,40～44歲,非婚生未認領,2
112,按發生日期分,新北市樹林區,40～44歲,無依兒童,0
112,按發生日期分,新北市樹林區,45～49歲,婚生,2
112,按發生日期分,新北市樹林區,45～49歲,遺腹子,0
112,按發生日期分,新北市樹林區,45～49歲,非婚生已認領,0
112,按發生日期分,新北市樹林區,45～49歲,非婚生未認領,0
112,按發生日期分,新北市樹林區,45～49歲,無依兒童,0
112,按發生日期分,新北市樹林區,50歲以上,婚生,0
112,按發生日期分,新北市樹林區,50歲以上,遺腹子,0
112,按發生日期分,新北市樹林區,50歲以上,非婚生已認領,0
112,按發生日期分,新北市樹林區,50歲以上,非婚生未認領,0
112,按發生日期分,新北市樹林區,50歲以上,無依兒童,0
112,按發生日期分,新北市鶯歌區,未滿15歲,婚生,0
112,按發生日期分,新北市鶯歌區,未滿15歲,遺腹子,0
112,按發生日期分,新北市鶯歌區,未滿15歲,非婚生已認領,0
112,按發生日期分,新北市鶯歌區,未滿15歲,非婚生未認領,0
112,按發生日期分,新北市鶯歌區,未滿15歲,無依兒童,0
112,按發生日期分,新北市鶯歌區,15～19歲,婚生,5
112,按發生日期分,新北市鶯歌區,15～19歲,遺腹子,0
112,按發生日期分,新北市鶯歌區,15～19歲,非婚生已認領,0
112,按發生日期分,新北市鶯歌區,15～19歲,非婚生未認領,5
112,按發生日期分,新北市鶯歌區,15～19歲,無依兒童,0
112,按發生日期分,新北市鶯歌區,20～24歲,婚生,50
112,按發生日期分,新北市鶯歌區,20～24歲,遺腹子,0
112,按發生日期分,新北市鶯歌區,20～24歲,非婚生已認領,0
112,按發生日期分,新北市鶯歌區,20～24歲,非婚生未認領,2
112,按發生日期分,新北市鶯歌區,20～24歲,無依兒童,0
112,按發生日期分,新北市鶯歌區,25～29歲,婚生,122
112,按發生日期分,新北市鶯歌區,25～29歲,遺腹子,0
112,按發生日期分,新北市鶯歌區,25～29歲,非婚生已認領,1
112,按發生日期分,新北市鶯歌區,25～29歲,非婚生未認領,1
112,按發生日期分,新北市鶯歌區,25～29歲,無依兒童,0
112,按發生日期分,新北市鶯歌區,30～34歲,婚生,143
112,按發生日期分,新北市鶯歌區,30～34歲,遺腹子,0
112,按發生日期分,新北市鶯歌區,30～34歲,非婚生已認領,2
112,按發生日期分,新北市鶯歌區,30～34歲,非婚生未認領,4
112,按發生日期分,新北市鶯歌區,30～34歲,無依兒童,0
112,按發生日期分,新北市鶯歌區,35～39歲,婚生,123
112,按發生日期分,新北市鶯歌區,35～39歲,遺腹子,0
112,按發生日期分,新北市鶯歌區,35～39歲,非婚生已認領,1
112,按發生日期分,新北市鶯歌區,35～39歲,非婚生未認領,2
112,按發生日期分,新北市鶯歌區,35～39歲,無依兒童,0
112,按發生日期分,新北市鶯歌區,40～44歲,婚生,26
112,按發生日期分,新北市鶯歌區,40～44歲,遺腹子,0
112,按發生日期分,新北市鶯歌區,40～44歲,非婚生已認領,0
112,按發生日期分,新北市鶯歌區,40～44歲,非婚生未認領,0
112,按發生日期分,新北市鶯歌區,40～44歲,無依兒童,0
112,按發生日期分,新北市鶯歌區,45～49歲,婚生,2
112,按發生日期分,新北市鶯歌區,45～49歲,遺腹子,0
112,按發生日期分,新北市鶯歌區,45～49歲,非婚生已認領,0
112,按發生日期分,新北市鶯歌區,45～49歲,非婚生未認領,0
112,按發生日期分,新北市鶯歌區,45～49歲,無依兒童,0
112,按發生日期分,新北市鶯歌區,50歲以上,婚生,0
112,按發生日期分,新北市鶯歌區,50歲以上,遺腹子,0
112,按發生日期分,新北市鶯歌區,50歲以上,非婚生已認領,0
112,按發生日期分,新北市鶯歌區,50歲以上,非婚生未認領,0
112,按發生日期分,新北市鶯歌區,50歲以上,無依兒童,0
112,按發生日期分,新北市三峽區,未滿15歲,婚生,0
112,按發生日期分,新北市三峽區,未滿15歲,遺腹子,0
112,按發生日期分,新北市三峽區,未滿15歲,非婚生已認領,0
112,按發生日期分,新北市三峽區,未滿15歲,非婚生未認領,0
112,按發生日期分,新北市三峽區,未滿15歲,無依兒童,0
112,按發生日期分,新北市三峽區,15～19歲,婚生,3
112,按發生日期分,新北市三峽區,15～19歲,遺腹子,0
112,按發生日期分,新北市三峽區,15～19歲,非婚生已認領,3
112,按發生日期分,新北市三峽區,15～19歲,非婚生未認領,1
112,按發生日期分,新北市三峽區,15～19歲,無依兒童,0
112,按發生日期分,新北市三峽區,20～24歲,婚生,53
112,按發生日期分,新北市三峽區,20～24歲,遺腹子,0
112,按發生日期分,新北市三峽區,20～24歲,非婚生已認領,0
112,按發生日期分,新北市三峽區,20～24歲,非婚生未認領,4
112,按發生日期分,新北市三峽區,20～24歲,無依兒童,0
112,按發生日期分,新北市三峽區,25～29歲,婚生,125
112,按發生日期分,新北市三峽區,25～29歲,遺腹子,0
112,按發生日期分,新北市三峽區,25～29歲,非婚生已認領,1
112,按發生日期分,新北市三峽區,25～29歲,非婚生未認領,1
112,按發生日期分,新北市三峽區,25～29歲,無依兒童,0
112,按發生日期分,新北市三峽區,30～34歲,婚生,199
112,按發生日期分,新北市三峽區,30～34歲,遺腹子,0
112,按發生日期分,新北市三峽區,30～34歲,非婚生已認領,2
112,按發生日期分,新北市三峽區,30～34歲,非婚生未認領,4
112,按發生日期分,新北市三峽區,30～34歲,無依兒童,0
112,按發生日期分,新北市三峽區,35～39歲,婚生,147
112,按發生日期分,新北市三峽區,35～39歲,遺腹子,0
112,按發生日期分,新北市三峽區,35～39歲,非婚生已認領,5
112,按發生日期分,新北市三峽區,35～39歲,非婚生未認領,3
112,按發生日期分,新北市三峽區,35～39歲,無依兒童,0
112,按發生日期分,新北市三峽區,40～44歲,婚生,36
112,按發生日期分,新北市三峽區,40～44歲,遺腹子,0
112,按發生日期分,新北市三峽區,40～44歲,非婚生已認領,0
112,按發生日期分,新北市三峽區,40～44歲,非婚生未認領,0
112,按發生日期分,新北市三峽區,40～44歲,無依兒童,0
112,按發生日期分,新北市三峽區,45～49歲,婚生,3
112,按發生日期分,新北市三峽區,45～49歲,遺腹子,0
112,按發生日期分,新北市三峽區,45～49歲,非婚生已認領,0
112,按發生日期分,新北市三峽區,45～49歲,非婚生未認領,1
112,按發生日期分,新北市三峽區,45～49歲,無依兒童,0
112,按發生日期分,新北市三峽區,50歲以上,婚生,0
112,按發生日期分,新北市三峽區,50歲以上,遺腹子,0
112,按發生日期分,新北市三峽區,50歲以上,非婚生已認領,0
112,按發生日期分,新北市三峽區,50歲以上,非婚生未認領,0
112,按發生日期分,新北市三峽區,50歲以上,無依兒童,0
112,按發生日期分,新北市淡水區,未滿15歲,婚生,0
112,按發生日期分,新北市淡水區,未滿15歲,遺腹子,0
112,按發生日期分,新北市淡水區,未滿15歲,非婚生已認領,0
112,按發生日期分,新北市淡水區,未滿15歲,非婚生未認領,0
112,按發生日期分,新北市淡水區,未滿15歲,無依兒童,0
112,按發生日期分,新北市淡水區,15～19歲,婚生,5
112,按發生日期分,新北市淡水區,15～19歲,遺腹子,0
112,按發生日期分,新北市淡水區,15～19歲,非婚生已認領,1
112,按發生日期分,新北市淡水區,15～19歲,非婚生未認領,2
112,按發生日期分,新北市淡水區,15～19歲,無依兒童,0
112,按發生日期分,新北市淡水區,20～24歲,婚生,49
112,按發生日期分,新北市淡水區,20～24歲,遺腹子,0
112,按發生日期分,新北市淡水區,20～24歲,非婚生已認領,1
112,按發生日期分,新北市淡水區,20～24歲,非婚生未認領,2
112,按發生日期分,新北市淡水區,20～24歲,無依兒童,0
112,按發生日期分,新北市淡水區,25～29歲,婚生,183
112,按發生日期分,新北市淡水區,25～29歲,遺腹子,0
112,按發生日期分,新北市淡水區,25～29歲,非婚生已認領,1
112,按發生日期分,新北市淡水區,25～29歲,非婚生未認領,5
112,按發生日期分,新北市淡水區,25～29歲,無依兒童,0
112,按發生日期分,新北市淡水區,30～34歲,婚生,319
112,按發生日期分,新北市淡水區,30～34歲,遺腹子,0
112,按發生日期分,新北市淡水區,30～34歲,非婚生已認領,4
112,按發生日期分,新北市淡水區,30～34歲,非婚生未認領,3
112,按發生日期分,新北市淡水區,30～34歲,無依兒童,0
112,按發生日期分,新北市淡水區,35～39歲,婚生,203
112,按發生日期分,新北市淡水區,35～39歲,遺腹子,0
112,按發生日期分,新北市淡水區,35～39歲,非婚生已認領,4
112,按發生日期分,新北市淡水區,35～39歲,非婚生未認領,6
112,按發生日期分,新北市淡水區,35～39歲,無依兒童,0
112,按發生日期分,新北市淡水區,40～44歲,婚生,54
112,按發生日期分,新北市淡水區,40～44歲,遺腹子,0
112,按發生日期分,新北市淡水區,40～44歲,非婚生已認領,3
112,按發生日期分,新北市淡水區,40～44歲,非婚生未認領,4
112,按發生日期分,新北市淡水區,40～44歲,無依兒童,0
112,按發生日期分,新北市淡水區,45～49歲,婚生,4
112,按發生日期分,新北市淡水區,45～49歲,遺腹子,0
112,按發生日期分,新北市淡水區,45～49歲,非婚生已認領,2
112,按發生日期分,新北市淡水區,45～49歲,非婚生未認領,0
112,按發生日期分,新北市淡水區,45～49歲,無依兒童,0
